teamId,teamName,institution,site,isWomenOnly
1024445,GigaByteMe,"School of Engineering and Applied Science, Ahmedabad University",Bengaluru,false
1020301,Cache us if you can,Sri Sivasubramaniya Nadar College of Engineering,Bengaluru,false
1027127,Hope_is_hard,Veermata Jijabai Technological Institute,Bengaluru,false
1032145,ToBeDecided,"Vellore Institute of Technology, Bhopal",Bengaluru,false
1019420,Verbatim,Vishwakarma Institute of Technology,Bengaluru,false
1021558,Spec 3,"Visvesvaraya National Institute of Technology, Nagpur",Bengaluru,false
1025052,StrawHatz,VNR Vignana Jyothi Institute of Engineering & Technology,Bengaluru,false
1012220,Lazy Coders,"Walchand College of Engineering, Sangli",Bengaluru,false
1019489,Peaky Blinders,Indian Institute of Information Technology Allahabad,Bengaluru,false
1032810,FFT IIITD,Indraprastha Institute of Information Technology Delhi,Bengaluru,false
1020592,SetBits111,"Ajay Kumar Garg Engineering College, Ghaziabad",Coimbatore,false
1024488,__Infinity_,Army Institute of Technology,Coimbatore,false
1026017,penalty_plus_plus,"Birla Institute of Technology and Science, Pilani Campus",Coimbatore,false
1022560,AAA_Battery,"BITS-Pilani, Goa Campus",Coimbatore,false
1026061,void *(*(*(**x[])())[])(),"BITS-Pilani, Hyderabad Campus",Coimbatore,false
1014128,Velaris,"Bundelkhand Institute of Engineering &amp;amp; Technology, Jhansi",Coimbatore,false
1033388,intutive,Chitkara University,Coimbatore,false
1021870,Silent 3lers,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",Coimbatore,false
1032147,DP,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Coimbatore,false
1016342,Coding Pirates,"GLA University, Mathura",Coimbatore,false
1025890,Inversions,Graphic Era Hill University,Coimbatore,false
1020551,EMO,"Harcourt Butler Technical University, Kanpur",Coimbatore,false
1016909,Fast and Fourier,IIT Bhubaneswar,Coimbatore,false
1023476,TripleEyeTea_DMK,Indian Institute of Information Technology Design and manufacturing Kurnool,Coimbatore,false
1023876,AlphaQ,Indian Institute of Information Technology Kota,Coimbatore,false
1018573,std::builtin_orz,Indian Institute of Information Technology Kottayam,Coimbatore,false
1021456,3+3>5,Indian Institute of Information Technology Nagpur,Coimbatore,false
1014682,i?low,"Indian Institute of Information Technology, Lucknow",Coimbatore,false
1027651,Bad Luck - 404,"Indian Institute of Information Technology, Sri City, Chittoor",Coimbatore,false
1017636,SegThreee,"Indian Institute of Information Technology, Surat",Coimbatore,false
1021038,just_better,Indian Institute of Technology - Bombay,Coimbatore,false
1027425,KalKeJuwari,Indian Institute of Technology - Guwahati,Coimbatore,false
1027686,ERRor not found,Indian Institute of Technology - Kharagpur,Coimbatore,false
1034192,Placed,Indian Institute of Technology - Patna,Coimbatore,false
1036060,Vector,Indian Institute of Technology - Roorkee,Coimbatore,false
1034180,NoIdea,Indian Institute of Technology - Varanasi,Coimbatore,false
1023462,While (Not Winning);,"Indian Institute of Technology (ISM), Dhanbad",Coimbatore,false
1032779,EXCEPTION EXORCISTS,"Indian Institute of Technology, Tirupati",Coimbatore,false
1013610,VAT-Barriers,International Institute of Information Technology - Naya Raipur,Coimbatore,false
1025759,CodeWIZ,"International Institute of Information Technology, Hyderabad",Coimbatore,false
1009241,I_Love_36B_TTs,"Jadavpur University, Kolkata",Coimbatore,false
1020713,Compiler Error,JIS University,Coimbatore,false
1029037,BinaryBrains 2.0,K L University,Coimbatore,false
1032102,modulo_primes,Keshav Memorial Institute of Technology,Coimbatore,false
1031900,Pretesters,KIET GROUP OF INSTITUTIONS,Coimbatore,false
1022739,Ec_warriors,Motilal Nehru National Institute of Technology - Allahabad,Coimbatore,false
1022907,Trie Harder,"National Institute of Technology Karnataka, Surathkul",Coimbatore,false
1026004,descendants of Tourist,National Institute of Technology Rourkela,Coimbatore,false
1031619,Goblin Barrel,"National Institute of Technology, Calicut",Coimbatore,false
1023773,owo,"National Institute of Technology, Raipur",Coimbatore,false
1027556,Stardust Crusaders,"National Institute of Technology, Warangal",Coimbatore,false
1022770,Probabilistic Losers,Nirma University,Coimbatore,false
1031141,XoRiers,Pandit Deendayal Energy University,Coimbatore,false
1011116,BLE,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",Coimbatore,false
1028789,SweetCODE,Rajiv Gandhi Institute Of Petroleum Technology,Coimbatore,false
1009162,Ctrl+Alt+Defeat,"RV Institute of Technology and Management, Bangalore",Coimbatore,false
1029304,Spit&Swallow,Sardar Patel Institute of Technology,Coimbatore,false
1025196,Queue Underflow,Scaler School of Technology,Coimbatore,false
1034784,allwayBlue,Shri Govindram Seksaria Institute of Technology and Science,Coimbatore,false
1017578,Outlaws,Thapar Institute of Engineering & Technology,Coimbatore,false
1021484,jKLMn,Veermata Jijabai Technological Institute,Coimbatore,false
1016329,Fullmetal Coders,"Vellore Institute of Technology, Bhopal",Coimbatore,false
1008697,Wrong Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology,Coimbatore,false
1019138,Ymca_bhediyas,"YMCA University of Science and Technology, Faridabad",Coimbatore,false
1018211,scoops troop,Indian Institute of Information Technology Nagpur,Coimbatore,false
1018211,scoops troop,Indian Institute of Information Technology Nagpur,Coimbatore,false
1024495,neela_hai_aasman,Army Institute of Technology,Kollam,false
1026493,SRS sus,"Birla Institute of Technology and Science, Pilani Campus",Kollam,false
1022650,VON,"BITS-Pilani, Goa Campus",Kollam,false
1027032,JMD,"BITS-Pilani, Goa Campus",Kollam,false
1033535,CodeCruXaders 2.0,"BITS-Pilani, Hyderabad Campus",Kollam,false
1023094,Compilation Error,Chandigarh University,Kollam,false
1032395,TLE : Talent Limit Exceeded,Chandigarh University,Kollam,false
1020278,TLE_ka O(mlette),Chennai Mathematical Institute,Kollam,false
1015109,DhruvNnoobs,Datta Meghe College of Engineering,Kollam,false
1008953,Chota Haathi,Delhi Skill and Entrepreneurship University Okhla-1,Kollam,false
1018252,bit_manipulators,Delhi Technological University(Formerly DCE),Kollam,false
1019381,fafda,Dharmsinh Desai Institute of Technology,Kollam,false
1021894,Enigma,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",Kollam,false
1024433,Wowwies,DJ Sanghvi College of Engineering,Kollam,false
1020676,CodeSquad,Graphic Era Hill University,Kollam,false
1020341,Hugs For Bugs,Graphic Era University,Kollam,false
1020557,azinomoto,"Harcourt Butler Technical University, Kanpur",Kollam,false
1025977,TEAM_X,"Harcourt Butler Technical University, Kanpur",Kollam,false
1019855,Compile and Conquer,IIT Bhubaneswar,Kollam,false
