,,ICPC Selected Teams for Amritapuri Regionals 2024
,,
Team ID,TeamName,Institution
1027417,HSS433,Indian Institute of Technology - Guwahati
1027226,WA_addicts,Indian Institute of Technology - Guwahati
1027425,KalKeJuwari,Indian Institute of Technology - Guwahati
1026783,Guffawed,Indian Institute of Technology - Guwahati
1021857,ethOS,Indian Institute of Technology - Hyderabad
1021856,100sage,Indian Institute of Technology - Hyderabad
1021859,WeirdFishes,Indian Institute of Technology - Hyderabad
1008794,404_solution_not_found,Indian Institute of Technology - Indore
1017379,Yeagerists,Indian Institute of Technology - Indore
1014914,Bhakarwadi ,Indian Institute of Technology - Indore
1018794,segment_trACk,Indian Institute of Technology - Kanpur
1018584,using namespace icpc;,Indian Institute of Technology - Kanpur
1018834,Code_Dawgs,Indian Institute of Technology - Kanpur
1018829,Null Pointers,Indian Institute of Technology - Kanpur
1021199,HeheKyaHua,Indian Institute of Technology - Kharagpur
1021970,AlooParatha,Indian Institute of Technology - Kharagpur
1027686,ERRor not found,Indian Institute of Technology - Kharagpur
1033243,The Blasters,Indian Institute of Technology - Madras
1033247,Chaiitea,Indian Institute of Technology - Madras
1035639,Soup,Indian Institute of Technology - Madras
1022488,Wasted_apples,Indian Institute of Technology - Mandi
1026890,IPCC,Indian Institute of Technology - Patna
1025427,meow,Indian Institute of Technology - Patna
1022709,Team Teleforces,Indian Institute of Technology - Patna
1035378,Do chai ek coffee,Indian Institute of Technology - Patna
1034192,Placed,Indian Institute of Technology - Patna
1021929,hehe i do cp,Indian Institute of Technology - Roorkee
1022921,AamPanna,Indian Institute of Technology - Roorkee
1022175,bytemASKers,Indian Institute of Technology - Roorkee
1036060,Vector,Indian Institute of Technology - Roorkee
1022385,ThreeStacks,Indian Institute of Technology - Ropar
1022308,Equinox,Indian Institute of Technology - Ropar
1017627,Cheetah,Indian Institute of Technology - Ropar
1026411,Prefer Not To Say,Indian Institute of Technology - Varanasi
1025796,poocha kya,Indian Institute of Technology - Varanasi
1034180,NoIdea,Indian Institute of Technology - Varanasi
1024412,Tree-mendous Coders,Indian Institute of Technology - Varanasi
1023433,Adhoc,"Indian Institute of Technology (ISM), Dhanbad"
1023300,ISeePSee,"Indian Institute of Technology (ISM), Dhanbad"
1023462,While (Not Winning);,"Indian Institute of Technology (ISM), Dhanbad"
1023480,3-STOOD,"Indian Institute of Technology (ISM), Dhanbad"
1023296,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad"
1033027,maniACs,Indian Institute of Technology Gandhinagar
1025182,way2AC,Indian Institute of Technology Gandhinagar
1026878,NUKE,Indian Institute of Technology Goa 
1020987,Oh Log N,Indian Institute Of Technology Jodhpur 
1022014,CrystaLMatH,Indian Institute Of Technology Jodhpur 
1021541,Coding Lobby,Indian Institute Of Technology Jodhpur 
1021966,Bug Busters,Indian Institute Of Technology Jodhpur 
1032779,EXCEPTION EXORCISTS,"Indian Institute of Technology, Tirupati"
1032810,FFT IIITD,Indraprastha Institute of Information Technology Delhi
1032813,The Champ and the Sidekicks,Indraprastha Institute of Information Technology Delhi
1025859,Array of hope,Indraprastha Institute of Information Technology Delhi
1024233,Alien X ,"Institute of Engineering & Technology, Lucknow"
1023192,Bugs sabke niklenge,"Institute of Engineering & Technology, Lucknow"
1020802,DAM Aloo,International Institute of Information Technology - Bangalore
1020793,whitepilled again,International Institute of Information Technology - Bangalore
1020799,assert(rand()),International Institute of Information Technology - Bangalore
1020812,Zhakaas,International Institute of Information Technology - Bangalore
1007915,Retired_Retards,International Institute of Information Technology - Naya Raipur
1013610,VAT-Barriers,International Institute of Information Technology - Naya Raipur
1028453,SubtasksWhere,"International Institute of Information Technology, Hyderabad"
1025759,CodeWIZ,"International Institute of Information Technology, Hyderabad"
1027708,lazy three,"International Institute of Information Technology, Hyderabad"
1025026,LockedIn,"International Institute of Information Technology, Hyderabad"
1025731,NamePending,"International Institute of Information Technology, Hyderabad"
